"","Time","Day_of_week","X466910","X466920","X466930","C0A980","C0A9A0","C0A9B0","C0A9C0","C0A9E0","C0A9F0","C0AC40","C0AC70","C0AC80","C0AH40","C0AH70","C1A730","C1AC50"
"3055","2015/5/8 06:00","Fri","0","0","0","0","0","0","0","0.5","0","0","0","0",NA,NA,"0","0"
"3056","2015/5/8 07:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3057","2015/5/8 08:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3058","2015/5/8 09:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3059","2015/5/8 10:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3060","2015/5/8 11:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3061","2015/5/8 12:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3062","2015/5/8 13:00","Fri","0","0","0.4","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3063","2015/5/8 14:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3064","2015/5/8 15:00","Fri","0.1","0.5","0","0","0","0","0","0","0","0","2","0",NA,NA,"2","0"
"3065","2015/5/8 16:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0"
"3066","2015/5/8 17:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3067","2015/5/8 18:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3068","2015/5/8 19:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0"
"3069","2015/5/8 20:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3070","2015/5/8 21:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3071","2015/5/8 22:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3072","2015/5/8 23:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3073","2015/5/9 00:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3074","2015/5/9 01:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3075","2015/5/9 02:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3076","2015/5/9 03:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3077","2015/5/9 04:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3078","2015/5/9 05:00","Sat","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"3079","2015/5/9 06:00","Sat","0","0","0","0","0","0",NA,"0","0","0","0","0",NA,NA,"0","0"
"3080","2015/5/9 07:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3081","2015/5/9 08:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3082","2015/5/9 09:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3083","2015/5/9 10:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3084","2015/5/9 11:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3085","2015/5/9 12:00","Sat","0","0","0","0","0","0","0","0","0","0","5","0",NA,NA,"0","0"
"3086","2015/5/9 13:00","Sat","0","0","0","0","0","0","0","0","0","0","0","14",NA,NA,"0","0"
"3087","2015/5/9 14:00","Sat","0","0","0","0","0","0","0","0","0","0","3","4",NA,NA,"4.5","0"
"3088","2015/5/9 15:00","Sat","0","0","0","0","0","0","0","0","0","0","14.5","7.5",NA,NA,"10.5","0"
"3089","2015/5/9 16:00","Sat","0","3.2","0","0","1","0","0","0","0","0","18","29.5",NA,NA,"26.5","0"
"3090","2015/5/9 17:00","Sat","0","0.5","0","0","2.5","0","0","0.5","2.5","0","5","30",NA,NA,"3","0"
"3091","2015/5/9 18:00","Sat","0","0.3","0","0","0","0","0","0","0","0","0.5","16",NA,NA,"0.5","0"
"3092","2015/5/9 19:00","Sat","0","0","0","0","0","0","0","0","0","0","0.5","1",NA,NA,"1","0"
"3093","2015/5/9 20:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3094","2015/5/9 21:00","Sat","0","0","0","0","0","0","0","0","0","0","0.5","0",NA,NA,"0","0"
"3095","2015/5/9 22:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3096","2015/5/9 23:00","Sat","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3097","2015/5/10 00:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3098","2015/5/10 01:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3099","2015/5/10 02:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3100","2015/5/10 03:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3101","2015/5/10 04:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3102","2015/5/10 05:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3103","2015/5/10 06:00","Sun","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"3104","2015/5/10 07:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3105","2015/5/10 08:00","Sun","0.1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3106","2015/5/10 09:00","Sun","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"3107","2015/5/10 10:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3108","2015/5/10 11:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3109","2015/5/10 12:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3110","2015/5/10 13:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3111","2015/5/10 14:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"3112","2015/5/10 15:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
